Background;Personality;Ideal;Bond;Flaw;Extra;Description
Hermit;I’ve been isolated for so long that I rarely speak, preferring gestures and the occasional grunt.|I am utterly serene, even in the face of disaster.|The leader of my community had something wise to say on every topic, and I am eager to share that wisdom.|I feel tremendous empathy for all who suffer.|I’m oblivious to etiquette and social expectations.|I connect everything that happens to me to a grand, cosmic plan.|I often get lost in my own thoughts and contemplation, becoming oblivious to my surroundings.|I am working on a grand philosophical theory and love sharing my ideas.;Greater Good. My gifts are meant to be shared with all, not used for my own benefit. |Logic. Emotions must not cloud our sense of what is right and true, or our logical thinking. |Free Thinking. Inquiry and curiosity are the pillars of progress. |Power. Solitude and contemplation are paths toward mystical or magical power. |Live and Let Live. Meddling in the affairs of others only causes trouble. (Neutral)|Self-Knowledge. If you know yourself, there’s nothing left to know. ;Nothing is more important than the other members of my hermitage, order, or association.|I entered seclusion to hide from the ones who might still be hunting me. I must someday confront them.|I’m still seeking the enlightenment I pursued in my seclusion, and it still eludes me.|I entered seclusion because I loved someone I could not have.|Should my discovery come to light, it could bring ruin to the world.|My isolation gave me great insight into a great evil that only I can destroy.;Now that I’ve returned to the world, I enjoy its delights a little too much.|I harbor dark, bloodthirsty thoughts that my isolation and meditation failed to quell.|I am dogmatic in my thoughts and philosophy.|I let my need to win arguments overshadow friendships and harmony.|I’d risk too much to uncover a lost bit of knowledge.|I like keeping secrets and won’t share them with anyone.;I was searching for spiritual enlightenment.|I was partaking of communal living in accordance with the dictates of a religious order.|I was exiled for a crime I didn’t commit.|I retreated from society after a life-altering event.|I needed a quiet place to work on my art, literature, music, or manifesto.|I needed to commune with nature, far from civilization.|I was the caretaker of an ancient ruin or relic.|I was a pilgrim in search of a person, place, or relic of spiritual significance.;You lived in seclusion — either in a sheltered community such as a monastery, or entirely alone — for a formative part of your life. In your time apart from the clamor of society, you found quiet, solitude, and perhaps some of the answers you were looking for. Life of Seclusion:
Knight;My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.|The common folk love me for my kindness and generosity.|No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.|I take great pains to always look my best and follow the latest fashions.|I don’t like to get my hands dirty, and I won’t be caught dead in unsuitable accommodations.|Despite my noble birth, I do not place myself above other folk. We all have the same blood.|My favor, once lost, is lost forever.|If you do me an injury, I will crush you, ruin your name, and salt your fields.;Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. |Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. |Independence. I must prove that I can handle myself without the coddling of my family. |Power. If I can attain more power, no one will tell me what to do. |Family. Blood runs thicker than water. |Noble Obligation. It is my duty to protect and care for the people beneath me. ;I will face any challenge to win the approval of my family.|My house’s alliance with another noble family must be sustained at all costs.|Nothing is more important than the other members of my family.|I am in love with the heir of a family that my family despises.|My loyalty to my sovereign is unwavering.|The common folk must see me as a hero of the people.;I secretly believe that everyone is beneath me.|I hide a truly scandalous secret that could ruin my family forever.|I too often hear veiled insults and threats in every word addressed to me, and I’m quick to anger.|I have an insatiable desire for carnal pleasures.|In fact, the world does revolve around me.|By my words and actions, I often bring shame to my family.;;You understand wealth, power, and privilege. You carry a noble title, and your family owns land, collects taxes, and wields significant political influence. You might be a pampered aristocrat unfamiliar with work or discomfort, a former merchant just elevated to the nobility, or a disinherited scoundrel with a disproportionate sense of entitlement. Or you could be an honest, hard-working landowner who cares deeply about the people who live and work on your land, keenly aware of your responsibility to them. A knighthood is among the lowest noble titles in most societies, but it can be a path to higher status. If you wish to be a knight, choose the Retainers feature (see the sidebar) instead of the Position of Privilege feature. One of your commoner retainers is replaced by a noble who serves as your squire, aiding you in exchange for training on his or her own path to knighthood. Your two remaining retainers might include a groom to care for your horse and a servant who polishes your armor (and even helps you put it on).
Noble;My eloquent flattery makes everyone I talk to feel like the most wonderful and important person in the world.|The common folk love me for my kindness and generosity.|No one could doubt by looking at my regal bearing that I am a cut above the unwashed masses.|I take great pains to always look my best and follow the latest fashions.|I don’t like to get my hands dirty, and I won’t be caught dead in unsuitable accommodations.|Despite my noble birth, I do not place myself above other folk. We all have the same blood.|My favor, once lost, is lost forever.|If you do me an injury, I will crush you, ruin your name, and salt your fields.;Respect. Respect is due to me because of my position, but all people regardless of station deserve to be treated with dignity. |Responsibility. It is my duty to respect the authority of those above me, just as those below me must respect mine. |Independence. I must prove that I can handle myself without the coddling of my family. |Power. If I can attain more power, no one will tell me what to do. |Family. Blood runs thicker than water. |Noble Obligation. It is my duty to protect and care for the people beneath me. ;I will face any challenge to win the approval of my family.|My house’s alliance with another noble family must be sustained at all costs.|Nothing is more important than the other members of my family.|I am in love with the heir of a family that my family despises.|My loyalty to my sovereign is unwavering.|The common folk must see me as a hero of the people.;I secretly believe that everyone is beneath me.|I hide a truly scandalous secret that could ruin my family forever.|I too often hear veiled insults and threats in every word addressed to me, and I’m quick to anger.|I have an insatiable desire for carnal pleasures.|In fact, the world does revolve around me.|By my words and actions, I often bring shame to my family.;;You understand wealth, power, and privilege. You carry a noble title, and your family owns land, collects taxes, and wields significant political influence. You might be a pampered aristocrat unfamiliar with work or discomfort, a former merchant just elevated to the nobility, or a disinherited scoundrel with a disproportionate sense of entitlement. Or you could be an honest, hard-working landowner who cares deeply about the people who live and work on your land, keenly aware of your responsibility to them.
Outlander;I’m driven by a wanderlust that led me away from home.|I watch over my friends as if they were a litter of newborn pups.|I once ran twenty-five miles without stopping to warn to my clan of an approaching orc horde. I’d do it again if I had to.|I have a lesson for every situation, drawn from observing nature.|I place no stock in wealthy or well-mannered folk. Money and manners won’t save you from a hungry owlbear.|I’m always picking things up, absently fiddling with them, and sometimes accidentally breaking them.|I feel far more comfortable around animals than people.|I was, in fact, raised by wolves.;Change. Life is like the seasons, in constant change, and we must change with it. |Greater Good. It is each person’s responsibility to make the most happiness for the whole tribe. |Honor. If I dishonor myself, I dishonor my whole clan. |Might. The strongest are meant to rule. |Nature. The natural world is more important than all the constructs of civilization. (Neutral)|Glory. I must earn glory in battle, for myself and my clan. ;My family, clan, or tribe is the most important thing in my life, even when they are far from me.|An injury to the unspoiled wilderness of my home is an injury to me.|I will bring terrible wrath down on the evildoers who destroyed my homeland.|I am the last of my tribe, and it is up to me to ensure their names enter legend.|I suffer awful visions of a coming disaster and will do anything to prevent it.|It is my duty to provide children to sustain my tribe.;I am too enamored of ale, wine, and other intoxicants.|There’s no room for caution in a life lived to the fullest.|I remember every insult I’ve received and nurse a silent resentment toward anyone who’s ever wronged me.|I am slow to trust members of other races, tribes, and societies.|Violence is my answer to almost any challenge.|Don’t expect me to save those who can’t save themselves. It is nature’s way that the strong thrive and the weak perish.;Forester|Trapper|Homesteader|Guide|Exile or outcast|Bounty hunter|Pilgrim|Tribal nomad|Hunter-gatherer|Tribal marauder;You grew up in the wilds, far from civilization and the comforts of town and technology. You’ve witnessed the migration of herds larger than forests, survived weather more extreme than any city-dweller could comprehend, and enjoyed the solitude of being the only thinking creature for miles in any direction. The wilds are in your blood, whether you were a nomad, an explorer, a recluse, a hunter-gatherer, or even a marauder. Even in places where you don’t know the specific features of the terrain, you know the ways of the wild. Origin:
Pirate;My friends know they can rely on me, no matter what.|I work hard so that I can play hard when the work is done.|I enjoy sailing into new ports and making new friends over a flagon of ale.|I stretch the truth for the sake of a good story.|To me, a tavern brawl is a nice way to get to know a new city.|I never pass up a friendly wager.|My language is as foul as an otyugh nest.|I like a job well done, especially if I can convince someone else to do it.;Respect. The thing that keeps a ship together is mutual respect between captain and crew. |Fairness. We all do the work, so we all share in the rewards. |Freedom. The sea is freedom — the freedom to go anywhere and do anything. |Mastery. I’m a predator, and the other ships on the sea are my prey. |People. I’m committed to my crewmates, not to ideals. (Neutral)|Aspiration. Someday I’ll own my own ship and chart my own destiny. ;I’m loyal to my captain first, everything else second.|The ship is most important — crewmates and captains come and go.|I’ll always remember my first ship.|In a harbor town, I have a paramour whose eyes nearly stole me from the sea.|I was cheated out of my fair share of the profits, and I want to get my due.|Ruthless pirates murdered my captain and crewmates, plundered our ship, and left me to die. Vengeance will be mine.;I follow orders, even if I think they’re wrong.|I’ll say anything to avoid having to do extra work.|Once someone questions my courage, I never back down no matter how dangerous the situation.|Once I start drinking, it’s hard for me to stop.|I can’t help but pocket loose coins and other trinkets I come across.|My pride will probably lead to my destruction.;;You sailed on a seagoing vessel for years. In that time, you faced down mighty storms, monsters of the deep, and those who wanted to sink your craft to the bottomless depths. Your first love is the distant line of the horizon, but the time has come to try your hand at something new. You spent your youth under the sway of a dread pirate, a ruthless cutthroat who taught you how to survive in a world of sharks and lawlessness. You’ve indulged in larceny on the high seas and sent more than one deserving soul to a briny grave. Fear and bloodshed are no strangers to you, and you’ve garnered a somewhat unsavory reputation in many a port town.
Sage;I use polysyllabic words that convey the impression of great erudition.|I’ve read every book in the world’s greatest libraries—or I like to boast that I have.|I’m used to helping out those who aren’t as smart as I am, and I patiently explain anything and everything to others.|There’s nothing I like more than a good mystery.|I’m willing to listen to every side of an argument before I make my own judgment.|I … speak … slowly … when talking … to idiots, … which … almost … everyone … is … compared … to me.|I am horribly, horribly awkward in social situations.|I’m convinced that people are always trying to steal my secrets.;Knowledge. The path to power and self-improvement is through knowledge. (Neutral)|Beauty. What is beautiful points us beyond itself toward what is true. |Logic. Emotions must not cloud our logical thinking. |No Limits. Nothing should fetter the infinite possibility inherent in all existence. |Power. Knowledge is the path to power and domination. |Self-Improvement. The goal of a life of study is the betterment of oneself. ;It is my duty to protect my students.|I have an ancient text that holds terrible secrets that must not fall into the wrong hands.|I work to preserve a library, university, scriptorium, or monastery.|My life’s work is a series of tomes related to a specific field of lore.|I’ve been searching my whole life for the answer to a certain question.|I sold my soul for knowledge. I hope to do great deeds and win it back.;I am easily distracted by the promise of information.|Most people scream and run when they see a demon. I stop and take notes on its anatomy.|Unlocking an ancient mystery is worth the price of a civilization.|I overlook obvious solutions in favor of complicated ones.|I speak without really thinking through my words, invariably insulting others.|I can’t keep a secret to save my life, or anyone else’s.;Alchemist|Astronomer|Discredited academic|Librarian|Professor|Researcher|Wizard’s apprentice|Scribe;You spent years learning the lore of the multiverse. You scoured manuscripts, studied scrolls, and listened to the greatest experts on the subjects that interest you. Your efforts have made you a master in your fields of study. Specialty:
Sage (Cobalt Scholar);I use polysyllabic words that convey the impression of great erudition.|I’ve read every book in the world’s greatest libraries—or I like to boast that I have.|I’m used to helping out those who aren’t as smart as I am, and I patiently explain anything and everything to others.|There’s nothing I like more than a good mystery.|I’m willing to listen to every side of an argument before I make my own judgment.|I … speak … slowly … when talking … to idiots, … which … almost … everyone … is … compared … to me.|I am horribly, horribly awkward in social situations.|I’m convinced that people are always trying to steal my secrets.;Knowledge. The path to power and self-improvement is through knowledge. (Neutral)|Beauty. What is beautiful points us beyond itself toward what is true. |Logic. Emotions must not cloud our logical thinking. |No Limits. Nothing should fetter the infinite possibility inherent in all existence. |Power. Knowledge is the path to power and domination. |Self-Improvement. The goal of a life of study is the betterment of oneself. ;It is my duty to protect my students.|I have an ancient text that holds terrible secrets that must not fall into the wrong hands.|I work to preserve a library, university, scriptorium, or monastery.|My life’s work is a series of tomes related to a specific field of lore.|I’ve been searching my whole life for the answer to a certain question.|I sold my soul for knowledge. I hope to do great deeds and win it back.;I am easily distracted by the promise of information.|Most people scream and run when they see a demon. I stop and take notes on its anatomy.|Unlocking an ancient mystery is worth the price of a civilization.|I overlook obvious solutions in favor of complicated ones.|I speak without really thinking through my words, invariably insulting others.|I can’t keep a secret to save my life, or anyone else’s.;Alchemist|Astronomer|Discredited academic|Librarian|Professor|Researcher|Wizard’s apprentice|Scribe;he Cobalt Soul is an organization of monastic scholars dedicated to preserving knowledge and recorded history, not just across Wildemount but all of Exandria. Its operations are primarily based out of the cities of Zadash and Rexxentrum in the Dwendalian Empire, and you likely studied at one of those sites. As a rank-and-file pupil of the Cobalt Soul, you adventure to help expand your mind. Alternatively (and with the DM’s permission), you might also take on a more specific role within the organization. Expositors are secret agents who gather information in the field, while archivists are the curators who ensure the well-being of the Cobalt Soul’s many Archives. Monks of the Cobalt Soul are enlightened scholars who lead expeditions into ancient and forgotten places, hoping to reclaim their lost knowledge and history. Specialty:
Sailor;My friends know they can rely on me, no matter what.|I work hard so that I can play hard when the work is done.|I enjoy sailing into new ports and making new friends over a flagon of ale.|I stretch the truth for the sake of a good story.|To me, a tavern brawl is a nice way to get to know a new city.|I never pass up a friendly wager.|My language is as foul as an otyugh nest.|I like a job well done, especially if I can convince someone else to do it.;Respect. The thing that keeps a ship together is mutual respect between captain and crew. |Fairness. We all do the work, so we all share in the rewards. |Freedom. The sea is freedom — the freedom to go anywhere and do anything. |Mastery. I’m a predator, and the other ships on the sea are my prey. |People. I’m committed to my crewmates, not to ideals. (Neutral)|Aspiration. Someday I’ll own my own ship and chart my own destiny. ;I’m loyal to my captain first, everything else second.|The ship is most important — crewmates and captains come and go.|I’ll always remember my first ship.|In a harbor town, I have a paramour whose eyes nearly stole me from the sea.|I was cheated out of my fair share of the profits, and I want to get my due.|Ruthless pirates murdered my captain and crewmates, plundered our ship, and left me to die. Vengeance will be mine.;I follow orders, even if I think they’re wrong.|I’ll say anything to avoid having to do extra work.|Once someone questions my courage, I never back down no matter how dangerous the situation.|Once I start drinking, it’s hard for me to stop.|I can’t help but pocket loose coins and other trinkets I come across.|My pride will probably lead to my destruction.;;You sailed on a seagoing vessel for years. In that time, you faced down mighty storms, monsters of the deep, and those who wanted to sink your craft to the bottomless depths. Your first love is the distant line of the horizon, but the time has come to try your hand at something new.
Sailor (Revelry Pirate);My friends know they can rely on me, no matter what.|I work hard so that I can play hard when the work is done.|I enjoy sailing into new ports and making new friends over a flagon of ale.|I stretch the truth for the sake of a good story.|To me, a tavern brawl is a nice way to get to know a new city.|I never pass up a friendly wager.|My language is as foul as an otyugh nest.|I like a job well done, especially if I can convince someone else to do it.;Respect. The thing that keeps a ship together is mutual respect between captain and crew. |Fairness. We all do the work, so we all share in the rewards. |Freedom. The sea is freedom — the freedom to go anywhere and do anything. |Mastery. I’m a predator, and the other ships on the sea are my prey. |People. I’m committed to my crewmates, not to ideals. (Neutral)|Aspiration. Someday I’ll own my own ship and chart my own destiny. ;I’m loyal to my captain first, everything else second.|The ship is most important — crewmates and captains come and go.|I’ll always remember my first ship.|In a harbor town, I have a paramour whose eyes nearly stole me from the sea.|I was cheated out of my fair share of the profits, and I want to get my due.|Ruthless pirates murdered my captain and crewmates, plundered our ship, and left me to die. Vengeance will be mine.;I follow orders, even if I think they’re wrong.|I’ll say anything to avoid having to do extra work.|Once someone questions my courage, I never back down no matter how dangerous the situation.|Once I start drinking, it’s hard for me to stop.|I can’t help but pocket loose coins and other trinkets I come across.|My pride will probably lead to my destruction.;;It seems that just about everyone is a sailor on the Menagerie Coast. Plenty of pirates ply the waters of the coast as well, but none are as infamous or as organized as the mighty Revelry. If you’re a pirate of the Revelry, you serve the Plank King and return a cut of all your plunder to him on the island of Darktow. The Revelry doesn’t take kindly to traitors and deserters, so if you count yourself a former member of that crew, you’ll want to watch your back while traveling on the Menagerie Coast. Thugs might hassle you and your allies until you even the score with the Revelry, either by paying up, submitting to imprisonment, or proving that you’re too dangerous to tangle with. You sailed on a seagoing vessel for years. In that time, you faced down mighty storms, monsters of the deep, and those who wanted to sink your craft to the bottomless depths. Your first love is the distant line of the horizon, but the time has come to try your hand at something new.
Soldier;I’m always polite and respectful.|I’m haunted by memories of war. I can’t get the images of violence out of my mind.|I’ve lost too many friends, and I’m slow to make new ones.|I’m full of inspiring and cautionary tales from my military experience relevant to almost every combat situation.|I can stare down a hell hound without flinching.|I enjoy being strong and like breaking things.|I have a crude sense of humor.|I face problems head-on. A simple, direct solution is the best path to success.;Greater Good. Our lot is to lay down our lives in defense of others. |Responsibility. I do what I must and obey just authority. |Independence. When people follow orders blindly, they embrace a kind of tyranny. |Might. In life as in war, the stronger force wins. |Live and Let Live. Ideals aren’t worth killing over or going to war for. (Neutral)|Nation. My city, nation, or people are all that matter. ;I would still lay down my life for the people I served with.|Someone saved my life on the battlefield. To this day, I will never leave a friend behind.|My honor is my life.|I’ll never forget the crushing defeat my company suffered or the enemies who dealt it.|Those who fight beside me are those worth dying for.|I fight for those who cannot fight for themselves.;The monstrous enemy we faced in battle still leaves me quivering with fear.|I have little respect for anyone who is not a proven warrior.|I made a terrible mistake in battle that cost many lives—and I would do anything to keep that mistake secret.|My hatred of my enemies is blind and unreasoning.|I obey the law, even if the law causes misery.|I’d rather eat my armor than admit when I’m wrong.;Officer|Scout|Infantry|Cavalry|Healer|Quartermaster|Standard bearer|Support staff (cook, blacksmith, or the like);War has been your life for as long as you care to remember. You trained as a youth, studied the use of weapons and armor, learned basic survival techniques, including how to stay alive on the battlefield. You might have been part of a standing national army or a mercenary company, or perhaps a member of a local militia who rose to prominence during a recent war. Specialty:
Spy (Augen Trust);I always have a plan for what to do when things go wrong.|I am always calm, no matter what the situation. I never raise my voice or let my emotions control me.|The first thing I do in a new place is note the locations of everything valuable—or where such things could be hidden.|I would rather make a new friend than a new enemy.|I am incredibly slow to trust. Those who seem the fairest often have the most to hide.|I don’t pay attention to the risks in a situation. Never tell me the odds.|The best way to get me to do something is to tell me I can’t do it.|I blow up at the slightest insult.;Honor. I don’t steal from others in the trade.|Freedom. Chains are meant to be broken, as are those who would forge them.|Charity. I steal from the wealthy so that I can help people in need.|Greed. I will do whatever it takes to become wealthy.|People. I’m loyal to my friends, not to any ideals, and everyone else can take a trip down the Styx for all I care.|Redemption. There’s a spark of good in everyone.;I’m trying to pay off an old debt I owe to a generous benefactor.|My ill-gotten gains go to support my family.|Something important was taken from me, and I aim to steal it back.|I will become the greatest thief that ever lived.|I’m guilty of a terrible crime. I hope I can redeem myself for it.|Someone I loved died because of a mistake I made. That will never happen again.;When I see something valuable, I can’t think about anything but how to steal it.|When faced with a choice between money and my friends, I usually choose the money.|If there’s a plan, I’ll forget it. If I don’t forget it, I’ll ignore it.|I have a “tell” that reveals when I’m lying.|I turn tail and run when things look bad.|An innocent person is in prison for a crime that I committed. I’m okay with that.;Blackmailer|Burglar|Enforcer|Fence|Highway robber|Hired killer|Pickpocket|Smuggler;Little is known about the Augen Trust, even within the court of the Dwendalian Empire. Only one person knows all the members of this elite network of imperial spies: its leader, Oliver Schreiber, a noble gnome with the ear of King Dwendal. Criminal Specialty:
Urchin;I hide scraps of food and trinkets away in my pockets.|I ask a lot of questions.|I like to squeeze into small places where no one else can get to me.|I sleep with my back to a wall or tree, with everything I own wrapped in a bundle in my arms.|I eat like a pig and have bad manners.|I think anyone who’s nice to me is hiding evil intent.|I don’t like to bathe.|I bluntly say what other people are hinting at or hiding.;Respect. All people, rich or poor, deserve respect. |Community. We have to take care of each other, because no one else is going to do it. |Change. The low are lifted up, and the high and mighty are brought down. Change is the nature of things. |Retribution. The rich need to be shown what life and death are like in the gutters. |People. I help the people who help me — that’s what keeps us alive. (Neutral)|Aspiration. I’m going to prove that I’m worthy of a better life.;My town or city is my home, and I’ll fight to defend it.|I sponsor an orphanage to keep others from enduring what I was forced to endure.|I owe my survival to another urchin who taught me to live on the streets.|I owe a debt I can never repay to the person who took pity on me.|I escaped my life of poverty by robbing an important person, and I’m wanted for it.|No one else should have to endure the hardships I’ve been through.;If I’m outnumbered, I will run away from a fight.|Gold seems like a lot of money to me, and I’ll do just about anything for more of it.|I will never fully trust anyone other than myself.|I’d rather kill someone in their sleep than fight fair.|It’s not stealing if I need it more than someone else.|People who can’t take care of themselves get what they deserve.;;You grew up on the streets alone, orphaned, and poor. You had no one to watch over you or to provide for you, so you learned to provide for yourself. You fought fiercely over food and kept a constant watch out for other desperate souls who might steal from you. You slept on rooftops and in alleyways, exposed to the elements, and endured sickness without the advantage of medicine or a place to recuperate. You’ve survived despite all odds, and did so through cunning, strength, speed, or some combination of each.
Volstrucker Agent;I prefer to keep my thoughts to myself.|I indulge vice in excess to quiet my conscience.|I’ve left emotion behind me. I’m now perfectly placid.|Some event from the past keeps worming its way into my mind, making me restless.|I always keep my word—except when I’m commanded to break it.|I laugh off insults and never take them personally.;Order. The will of the crown is absolute. (Law)|True Loyalty. The Cerberus Assembly is greater than any power, even the crown. (Law)|Death. The penalty for disloyalty is death. |Determination. I cannot fail. Not ever. (Neutral)|Fear. People should not respect power. They should fear it. |Escape. The Volstrucker are pure evil! I can’t atone for what I’ve done for them, but I can escape with my life. ;The job is all that matters. I will see it through.|My orders are important, but my comrades are worth more than anything. I would die for them.|Everything I’ve done, I’ve done to protect someone close to me.|If the empire falls, all of civilization falls with it. I will hold back chaos and barbarism at any cost.;I drink to dull the pain in the back of my head.|I go a bit mad when I see blood.|I can hear the voices of everyone I’ve killed. I see their faces. I can’t be free of these ghosts.|Fear is a powerful motivator. I will do whatever it takes to prevent those who know what I am from seeing me fail, and from those I care about from knowing what I am.;Familicide. Through deceit or manipulation, the Volstrucker convinced you to slaughter your own family.|Amnesia. You were forced to study magic so potent that it strained your mind beyond mortal limits, stealing away the memories of your past.|Capture. You were captured and tortured by agents of the Kryn Dynasty, and barely escaped.|Starvation. A terrible blight afflicted your rural village, and many of your friends and family members starved to death. You survived, but only barely.|Disfigurement. One of your arcane experiments went wrong and scarred or dismembered you so gravely that others now shun you. Only the Volstrucker showed you kindness after that day.|Vicissitude. You were once the scion of a wealthy family who lost their entire fortune in the blink of an eye.;The Volstrucker are a clandestine organization of arcane assassins and enforcers in the service of the Cerberus Assembly. Their operatives bear no official title, but are referred to in hushed tones as “scourgers” by residents of large Dwendalian cities such as Zadash and Rexxentrum. You are a Volstrucker agent. Your duty is to silence dissidents who would undermine the will of King Dwendal—and more importantly, the will of the Assembly. Tragedy:
